 4.500 4.77486
 5.000 4.88817
 5.500 5.00148
 6.000 5.11479
 6.376 5.20000 
 6.512 5.23082 
 6.624 5.26163 
 6.721 5.29245 
 6.808 5.32327 
 6.887 5.35408 
 6.960 5.38490 
 7.030 5.41571 
 7.095 5.44653 
 7.158 5.47735 
 7.219 5.50816 
 7.278 5.53898 
 7.336 5.56980 
 7.392 5.60061 
 7.447 5.63143 
 7.502 5.66224 
 7.555 5.69306 
 7.608 5.72388 
 7.661 5.75469 
 7.713 5.78551 
 7.765 5.81633 
 7.817 5.84714 
 7.869 5.87796 
 7.920 5.90878 
 7.972 5.93959 
 8.024 5.97041 
 8.075 6.00122 
 8.127 6.03204 
 8.180 6.06286 
 8.232 6.09367 
 8.285 6.12449 
 8.338 6.15531 
 8.392 6.18612 
 8.446 6.21694 
 8.501 6.24776 
 8.557 6.27857 
 8.614 6.30939 
 8.672 6.34020 
 8.730 6.37102 
 8.790 6.40184 
 8.852 6.43265 
 8.915 6.46347 
 8.979 6.49429 
 9.046 6.52510 
 9.114 6.55592 
 9.184 6.58673 
 9.255 6.61755 
 9.330 6.64837 
 9.406 6.67918 
 9.484 6.71000 
 9.600 6.75583
 9.800 6.83486
 10.00 6.91388
 10.20 6.99291
 10.40 7.07193

